Date,Country,Cumulative no. of cases,Cumulative no. of deaths,Link
24-04-2009,Mexico,18,0,https://www.who.int/csr/don/2009_04_24/en/
24-04-2009,United States of America,7,0,https://www.who.int/csr/don/2009_04_24/en/
26-04-2009,Mexico,18,0,https://www.who.int/csr/don/2009_04_24/en/
26-04-2009,United States of America,20,0,https://www.who.int/csr/don/2009_04_24/en/
27-04-2009,Canada,6,0,https://www.who.int/csr/don/2009_04_24/en/
27-04-2009,Mexico,26,7,https://www.who.int/csr/don/2009_04_24/en/
27-04-2009,Spain,1,0,https://www.who.int/csr/don/2009_04_24/en/
27-04-2009,United States of America,40,0,https://www.who.int/csr/don/2009_04_24/en/
28-04-2009,Canada,6,0,https://www.who.int/csr/don/2009_04_24/en/
28-04-2009,Israel,2,0,https://www.who.int/csr/don/2009_04_24/en/
28-04-2009,Mexico,26,7,https://www.who.int/csr/don/2009_04_24/en/
28-04-2009,New Zealand,3,0,https://www.who.int/csr/don/2009_04_24/en/
28-04-2009,Spain,2,0,https://www.who.int/csr/don/2009_04_24/en/
28-04-2009,United Kingdom,2,0,https://www.who.int/csr/don/2009_04_24/en/
28-04-2009,United States of America,64,0,https://www.who.int/csr/don/2009_04_24/en/
29-04-2009,Austria,1,0,https://www.who.int/csr/don/2009_04_24/en/
29-04-2009,Canada,13,0,https://www.who.int/csr/don/2009_04_24/en/
29-04-2009,Germany,3,0,https://www.who.int/csr/don/2009_04_24/en/
29-04-2009,Israel,2,0,https://www.who.int/csr/don/2009_04_24/en/
29-04-2009,Mexico,26,7,https://www.who.int/csr/don/2009_04_24/en/
29-04-2009,New Zealand,3,0,https://www.who.int/csr/don/2009_04_24/en/
29-04-2009,Spain,5,0,https://www.who.int/csr/don/2009_04_24/en/
29-04-2009,United Kingdom,5,0,https://www.who.int/csr/don/2009_04_24/en/
29-04-2009,United States of America,91,1,https://www.who.int/csr/don/2009_04_24/en/
30-04-2009,Austria,1,0,https://www.who.int/csr/don/2009_04_30_a/en/
30-04-2009,Canada,19,0,https://www.who.int/csr/don/2009_04_30_a/en/
30-04-2009,Germany,3,0,https://www.who.int/csr/don/2009_04_30_a/en/
30-04-2009,Israel,2,0,https://www.who.int/csr/don/2009_04_30_a/en/
30-04-2009,Mexico,97,7,https://www.who.int/csr/don/2009_04_30_a/en/
30-04-2009,Netherlands,1,0,https://www.who.int/csr/don/2009_04_30_a/en/
30-04-2009,New Zealand,3,0,https://www.who.int/csr/don/2009_04_30_a/en/
30-04-2009,Spain,13,0,https://www.who.int/csr/don/2009_04_30_a/en/
30-04-2009,Switzerland,1,0,https://www.who.int/csr/don/2009_04_30_a/en/
30-04-2009,United Kingdom,8,0,https://www.who.int/csr/don/2009_04_30_a/en/
30-04-2009,United States of America,109,1,https://www.who.int/csr/don/2009_04_30_a/en/
01-05-2009,Austria,1,0,https://www.who.int/csr/don/2009_05_01a/en/
01-05-2009,Canada,34,0,https://www.who.int/csr/don/2009_05_01a/en/
01-05-2009,Denmark,1,0,https://www.who.int/csr/don/2009_05_01a/en/
01-05-2009,Germany,4,0,https://www.who.int/csr/don/2009_05_01a/en/
01-05-2009,Hong Kong Special Administrative Region,1,0,https://www.who.int/csr/don/2009_05_01a/en/
01-05-2009,Israel,2,0,https://www.who.int/csr/don/2009_05_01a/en/
01-05-2009,Mexico,156,9,https://www.who.int/csr/don/2009_05_01a/en/
01-05-2009,Netherlands,1,0,https://www.who.int/csr/don/2009_05_01a/en/
01-05-2009,New Zealand,4,0,https://www.who.int/csr/don/2009_05_01a/en/
01-05-2009,Spain,13,0,https://www.who.int/csr/don/2009_05_01a/en/
01-05-2009,Switzerland,1,0,https://www.who.int/csr/don/2009_05_01a/en/
01-05-2009,United Kingdom,8,0,https://www.who.int/csr/don/2009_05_01a/en/
01-05-2009,United States of America,141,1,https://www.who.int/csr/don/2009_05_01a/en/
02-05-2009,Austria,1,0,https://www.who.int/csr/don/2009_05_02a/en/
02-05-2009,Canada,51,0,https://www.who.int/csr/don/2009_05_02a/en/
02-05-2009,Costa Rica,1,0,https://www.who.int/csr/don/2009_05_02a/en/
02-05-2009,Denmark,1,0,https://www.who.int/csr/don/2009_05_02a/en/
02-05-2009,France,2,0,https://www.who.int/csr/don/2009_05_02a/en/
02-05-2009,Germany,6,0,https://www.who.int/csr/don/2009_05_02a/en/
02-05-2009,Hong Kong Special Administrative Region,1,0,https://www.who.int/csr/don/2009_05_02a/en/
02-05-2009,Israel,3,0,https://www.who.int/csr/don/2009_05_02a/en/
02-05-2009,Mexico,397,16,https://www.who.int/csr/don/2009_05_02a/en/
02-05-2009,Netherlands,1,0,https://www.who.int/csr/don/2009_05_02a/en/
